Model,R^2,RMSE
Linear Regression,0.8201571618787515,3987.7914529988166
Ridge Regression,0.8201571864408902,3987.7911806813554
ElasticNet,0.7948647670108749,4258.983856585822
Lasso Regression,0.820151829483843,3987.8505721759825
Bayesian Ridge,0.8201588307161547,3987.7729507580802
Random Forest,0.9577058249878925,1933.8649556139233
Gradient Boosting,0.9180314564206348,2692.213351429432
XGBoost,0.9552448987960815,1989.330917670562
